type,difficulty,category,question,correct_answer
boolean,easy,General Knowledge,The Great Wall of China is visible from the moon.,False
boolean,easy,General Knowledge,Jingle Bells was originally meant for Thanksgiving,True
boolean,easy,General Knowledge,Nutella is produced by the German company Ferrero.,False
boolean,medium,General Knowledge,"The bikini is named after the Bikini Atoll, an island where the United States conducted tests on atomic bombs.",True
boolean,easy,General Knowledge,French is an official language in Canada.,True
boolean,hard,General Knowledge,"In Scandinavian languages, the letter  means river.",True
boolean,hard,General Knowledge,This is the correct spelling of Supercalifragilisticexpialidocious.,True
boolean,easy,General Knowledge,The mitochondria is the powerhouse of the cell.,True
boolean,easy,General Knowledge,The Lego Group was founded in 1932.,True
boolean,medium,General Knowledge,Typewriter is the longest word that can be typed using only the first row on a QWERTY keyboard.,True
boolean,medium,General Knowledge,The term Spam came before the food product Spam.,False
boolean,easy,General Knowledge,Video streaming website YouTube was purchased in its entirety by Facebook for US$1.65 billion in stock.,False
boolean,medium,General Knowledge,Popcorn was invented in 1871 by Frederick W. Rueckheim in the USA where he sold the snack on the streets of Chicago.,False
boolean,hard,General Knowledge,Stagecoach owned South West Trains before losing the rights to FirstGroup and MTR in March of 2017.,True
boolean,easy,General Knowledge,"On average, at least 1 person is killed by a drunk driver in the United States every hour.",True
boolean,medium,General Knowledge,Kissing someone for one minute burns about 2 calories.,True
boolean,medium,General Knowledge,Santa Claus is a variety of melon.,True
boolean,easy,General Knowledge,You can legally drink alcohol while driving in Mississippi.,True
boolean,medium,General Knowledge,The scientific name for the Southern Lights is Aurora Australis?,True
boolean,medium,General Knowledge,Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo. is a grammatically correct sentence.,True
boolean,medium,General Knowledge,Fast food restaurant chains Carls Jr. and Hardees are owned by the same company.,True
boolean,easy,General Knowledge,Ananas is mostly used as the word for Pineapple in other languages.,True
boolean,medium,General Knowledge,The vapor produced by e-cigarettes is actually water.,False
boolean,easy,General Knowledge,Dihydrogen Monoxide was banned due to health risks after being discovered in 1983 inside swimming pools and drinking water.,False
boolean,easy,General Knowledge,It is automatically considered entrapment in the United States if the police sell you illegal substances without revealing themselves.,False
boolean,hard,General Knowledge,Number 16 Bus Shelter was a childs name that was approved by the New Zealand government.,True
boolean,easy,General Knowledge,The color orange is named after the fruit.,True
boolean,easy,General Knowledge,A scientific study on peanuts in bars found traces of over 100 unique specimens of urine.,False
boolean,medium,General Knowledge,"The word news originates from the first letters of the 4 main directions on a compass (North, East, West, South).",False
boolean,medium,General Knowledge,Sitting for more than three hours a day can cut two years off a persons life expectancy.,True
boolean,easy,General Knowledge,"When you cry in space, your tears stick to your face.",True
boolean,medium,General Knowledge,The British organisation CAMRA stands for The Campaign for Real Ale.,True
boolean,medium,General Knowledge,Cucumbers are usually more than 90% water.,True
boolean,medium,General Knowledge,The average woman is 5 inches / 13 centimeters shorter than the average man.,True
boolean,medium,General Knowledge,There are 86400 seconds in a day.,True
boolean,medium,General Knowledge,Haggis is traditionally ate on Burns Night.,True
boolean,easy,General Knowledge,"Romanian belongs to the Romance language family, shared with French, Spanish, Portuguese and Italian. ",True
boolean,medium,General Knowledge,The French word for glass is glace.,False
boolean,medium,General Knowledge,The US emergency hotline is 911 because of the September 11th terrorist attacks.,False
boolean,medium,General Knowledge,Francis Bacon died from a fatal case of pneumonia while he was attempting to preserve meat by stuffing a chicken with snow.,True
boolean,easy,General Knowledge,The Sun rises from the North.,False
boolean,easy,General Knowledge,"In 2010, Twitter and the United States Library of Congress partnered together to archive every tweet by American citizens.",True
boolean,hard,General Knowledge,NCIS stands for Navy Corps Investigative Service,False
boolean,easy,General Knowledge,"27 Club is a term used to refer to a list of famous actors, musicians, and artists who died at the age of 27.",True
boolean,easy,General Knowledge,Bulls are attracted to the color red.,False
boolean,medium,General Knowledge,Instant mashed potatoes were invented by Canadian Edward Asselbergs in 1962.,True
boolean,medium,General Knowledge,The pickled gherkin was first added to hamburgers because a US health law required all fast-food to include a source of Vitamin C.,False
boolean,easy,General Knowledge,Adolf Hitler was born in Australia. ,False
boolean,easy,General Knowledge,The National Animal of Scotland is the Unicorn.,True
boolean,medium,General Knowledge,The French word to travel is Travail,False
boolean,hard,Entertainment: Books,"In Harry Potter and the Deathly Hallows, Hermione destroyed the fourth Horcrux by stabbing it with the Sword of Gryffindor.",False
boolean,hard,Entertainment: Books,"Harry Potter was born on July 31st, 1980.",True
boolean,easy,Entertainment: Books,The Berenstein Bears is the correct spelling of the educational childrens book series name.,False
boolean,easy,Entertainment: Books,Green Eggs and Ham consists of only 50 different words.,True
boolean,easy,Entertainment: Books,Stephen Chbosky wrote the book The Perks of Being A Wallflower.,True
boolean,easy,Entertainment: Books,"Elementary, my dear Watson is a phrase that is never truly said within the Conan Doyle books of Sherlock Holmes.",True
boolean,easy,Entertainment: Books,Shub-Niggurath is a creature that was created by 	J. R. R. Tolkien in his novel The Lord of The Rings.,False
boolean,medium,Entertainment: Books,"Originally, the character Charlie from Charlie and the Chocolate Factory was going to be black.",True
boolean,easy,Entertainment: Books,The book 1984 was published in 1949.,True
boolean,easy,Entertainment: Books,"The Harry Potter series of books, combined, are over 1,000,000 words in length.",True
boolean,medium,Entertainment: Film,The movie Tron received an Oscar nomination for Best Visual Effects.,False
boolean,easy,Entertainment: Film,"In the original Star Wars trilogy, Alec Guinness provided the voice for Darth Vader.",False
boolean,easy,Entertainment: Film,"Samuel L. Jackson had the words, Bad Motherf*cker in-scripted on his lightsaber during the filming of Star Wars.",True
boolean,easy,Entertainment: Film,Brandon Routh plays the titular character in the movie John Wick.,False
boolean,hard,Entertainment: Film,The weapon Clint Eastwood uses in Dirty Harry was a .44 Automag.,False
boolean,easy,Entertainment: Film,Ewan McGregor did not know the name of the second prequel film of Star Wars during and after filming.,True
boolean,easy,Entertainment: Film,Leonardo DiCaprio won an Oscar for Best Actor in 2004s The Aviator.,False
